imdbID,Title,WatchedDate,Rating10
tt0075860,Close Encounters of the Third Kind,2019-03-03,7
tt0075863,Colloque de chiens,2016-04-14,8
tt0758730,AVPR: Aliens vs Predator - Requiem,2012-10-20,2
tt0758752,Love & Other Drugs,2012-10-20,4
tt0758774,Body of Lies,2012-10-20,5
tt0075915,De cierta manera,2015-06-02,5
tt0075938,Le diable probablement,2014-07-24,6
tt0076085,Una giornata particolare,2015-03-05,8
tt0076162,Hausu,2014-12-22,6
tt0076247,Julio Comienza en Julio,2015-07-26,7
tt0076263,Killer of Sheep,2012-10-20,7
tt0076336,El lugar sin límites,2014-11-14,6
tt0076341,Mababangong Bangungot,2014-10-19,8
tt0076452,News from Home,2015-03-26,8
tt0765120,My Blueberry Nights,2015-06-24,6
tt0076540,El pez que fuma,2015-05-29,5
tt0765429,American Gangster,2012-10-20,7
tt0765432,Der Baader Meinhof Komplex,2012-10-20,6
tt0765849,Unser täglich Brot,2017-04-19,7
tt0076741,La Soufrière - Warten auf eine unausweichliche Katastrophe,2014-08-07,7
tt0076759,Star Wars,2012-10-20,8
tt0076786,Suspiria,2018-01-31,7
tt0076796,Tanczacy jastrzab,2016-03-26,6
tt0077281,Burû Kurisumasu,2014-04-19,6
tt0077402,Dawn of the Dead,2016-05-21,7
tt0077405,Days of Heaven,2012-06-21,8
tt0077416,The Deer Hunter,2011-10-08,9
tt0077631,Grease,2014-01-27,4
tt0077651,Halloween,2018-10-28,6
tt0077707,L'hypothèse du tableau volé,2014-01-04,6
tt0077711,Höstsonaten,2013-09-26,7
tt0077729,In einem Jahr mit 13 Monden,2013-05-30,8
tt0077975,National Lampoon's Animal House,2019-01-15,5
tt0780180,"Wer früher stirbt, ist länger tot",2012-10-20,6
tt0780504,Drive,2012-01-29,9
tt0780536,In Bruges,2012-10-20,6
tt0078054,Panna a netvor,2018-10-31,7
tt0780568,Mein Führer - Die wirklich wahrste Wahrheit über Adolf Hitler,2012-10-20,4
tt0078106,Powers of Ten,2017-01-06,7
tt0781511,Su-ki-da,2015-01-01,8
tt0078152,Les rendez-vous d'Anna,2016-04-22,7
tt0078326,Straight Time,2015-08-15,6
tt0078415,37/78: Tree Again,2015-03-07,7
tt0078748,Alien,2011-05-01,9
tt0078754,All That Jazz,2017-11-19,7
tt0078763,Amator,2014-06-09,6
tt0078788,Apocalypse Now,2012-02-06,10
tt0078797,Arrebato,2014-06-29,7
tt0007880,Easy Street,2013-08-02,6
tt0078875,Die Blechtrommel,2012-10-20,7
tt0078902,Breaking Away,2018-08-22,6
tt0078913,Buffet froid,2017-11-27,7
tt0790636,Dallas Buyers Club,2014-02-12,7
tt0079083,Die dritte Generation,2013-01-25,5
tt0079095,Die Ehe der Maria Braun,2012-12-02,8
tt0079182,Fukushû suru wa ware ni ari,2013-09-23,6
tt0079271,Hardcore,2018-09-10,6
tt0794374,Yi He Yuan,2015-10-06,8
tt0079470,Life of Brian,2012-04-26,8
tt0079501,Mad Max,2012-10-20,6
tt0079522,Manhattan,2012-10-30,6
tt0079574,Moonraker,2012-10-20,5
tt0796366,Star Trek,2012-10-20,6
tt0079641,Nosferatu: Phantom der Nacht,2018-10-18,8
tt0079688,Over the Edge,2019-02-12,6
tt7984734,The Lighthouse,2019-11-29,9
tt0079944,Stalker,2012-06-18,8
tt0079980,Série noire,2017-11-11,7
tt0079986,Skazka skazok,2014-10-19,6
tt0080120,The Warriors,2018-06-25,5
tt0080196,Berlin Alexanderplatz,2014-01-09,8
tt0080360,Altered States,2015-03-11,6
tt0080678,The Elephant Man,2012-10-20,8
tt0080684,Star Wars: Episode V - The Empire Strikes Back,2012-10-20,8
tt0080728,La femme de l'aviateur,2017-03-15,8
tt0080755,Foutaises,2016-04-02,6
tt0080770,Gadajace glowy,2014-06-14,6
tt0808151,Angels & Demons,2012-10-20,5
tt0809425,Dans la ville de Sylvia,2015-01-16,8
tt0080979,Kagemusha,2013-10-19,6
tt0081040,A légy,2014-10-25,6
tt0008133,The Immigrant,2013-08-02,5
tt0081398,Raging Bull,2012-03-05,8
tt0081505,The Shining,2010-05-15,9
tt0081554,Stardust Memories,2013-12-21,6
tt0081633,Time Bandits,2014-12-07,6
tt0081662,Tsigoineruwaizen,2014-03-06,7
tt0082053,Le beau mariage,2017-03-05,6
tt0082085,Blow Out,2017-03-17,8
tt0082096,Das Boot,2016-08-10,8
tt0082176,Christiane F. - Wir Kinder vom Bahnhof Zoo,2018-03-23,6
tt0082206,Coup de torchon,2017-03-15,6
tt0082259,"Deprisa, deprisa",2018-10-21,7
tt0082280,Doro no kawa,2013-09-22,9
tt0082340,Escape from New York,2012-10-20,5
tt0082370,La femme d'à côté,2017-03-13,6
tt0082406,The Fox and the Hound,2014-04-07,6
tt0082436,Garde à vue,2017-03-16,7
tt0824747,Changeling,2012-10-20,6
tt0826039,Blokada,2015-08-07,6
