imdbID,Title,WatchedDate,Rating10
tt0140434,Lichtspiel Opus 1.,2014-01-29,5
tt0140542,Seisaku no tsuma,2014-10-13,7
tt0140546,Der Sieger,2014-01-29,4
tt0140772,The 'Teddy' Bears,2014-06-16,4
tt0140788,The Act of Seeing with One's Own Eyes,2015-10-31,8
tt1410261,Shinboru,2014-04-17,6
tt0014108,Gunnar Hedes saga,2013-12-25,7
tt0141603,Mikreh Isha,2014-10-25,8
tt0014218,The Love Nest,2014-05-29,7
tt0142181,Chûgoku no chôjin,2014-03-11,8
tt1423592,Kinatay,2015-01-04,7
tt1424797,J'ai tué ma mère,2016-07-27,6
tt1426352,Amer,2014-09-30,6
tt0142688,The Ninth Gate,2012-10-20,5
tt1428455,Sandow,2015-11-11,4
tt1431045,Deadpool,2016-03-01,4
tt0143145,The World Is Not Enough,2012-10-20,4
tt0014341,Our Hospitality,2015-02-05,6
tt1438171,Cheraghi dar meh,2015-08-21,6
tt0144020,Xiao Wu,2014-04-10,8
tt1440345,This Must Be the Place,2012-10-20,6
tt0014406,Le retour à la raison,2015-04-16,6
tt0144084,American Psycho,2012-10-20,7
tt1441326,Martha Marcy May Marlene,2012-10-20,7
tt1441395,Under the Skin,2014-07-18,9
tt0144187,Vechir na Ivana Kupala,2014-09-20,8
tt1446714,Prometheus,2012-10-20,6
tt0144782,O Bandido da Luz Vermelha,2014-06-26,7
tt0144854,Dama spathi,2015-03-04,7
tt1450321,Filth,2017-07-21,7
tt0145487,Spider-Man,2012-10-20,5
tt0145955,Papageno,2018-10-16,5
tt0146344,Voldtekt,2014-01-15,6
tt0014694,Ballet mécanique,2015-04-16,7
tt0147039,Ménilmontant,2013-01-12,7
tt1472532,London to Brighton in Four Minutes,2015-09-29,6
tt1480648,A Letter to Uncle Boonmee,2014-09-28,5
tt0014872,Entr'acte,2013-09-28,6
tt1490017,The Lego Movie,2014-04-26,8
tt1490530,Alma,2014-09-27,6
tt0149565,79 primaveras,2016-05-02,7
tt0014972,He Who Gets Slapped,2013-10-12,8
tt0149790,The Barber of Seville,2014-04-27,4
tt0000015,Autour d'une cabine,2014-01-26,5
tt1502396,Alamar,2015-06-20,8
tt1503773,El vuelco del cangrejo,2015-06-06,6
tt0015064,Der letzte Mann,2013-12-02,9
tt0150662,Fucking Åmål,2018-11-13,8
tt0150980,Hanyo,2014-05-16,6
tt0151175,Kaleidoscope,2020-05-29,6
tt0015163,The Navigator,2013-11-16,8
tt0151804,Office Space,2015-12-19,6
tt1519635,Xianshi shi guoqu de weilai,2013-10-26,7
tt0001527,Mest kinematograficheskogo operatora,2013-10-11,7
tt1527186,Melancholia,2013-11-04,7
tt0015324,Sherlock Jr.,2013-06-09,9
tt0015361,Stachka,2014-11-28,6
tt0154152,Annabelle Serpentine Dance,2013-12-29,5
tt0154420,Festen,2013-03-31,8
tt0154421,Idioterne,2015-02-04,8
tt0154506,Following,2012-02-09,8
tt0154728,Khake Sar Beh Mohr,2015-07-24,6
tt0155278,Tôkaidô Yotsuya kaidan,2014-02-13,4
tt1556190,Nostalgia de la luz,2014-08-03,7
tt1560747,The Master,2013-03-04,9
tt0015624,The Big Parade,2013-12-24,9
tt1562926,Wisdom Teeth,2014-10-25,5
tt0015648,Bronenosets Potemkin,2012-10-20,6
tt0156519,Erotique,2013-09-26,5
tt0156587,Hai shang hua,2014-02-08,8
tt0156610,Dong,2013-11-03,9
tt1568346,The Girl with the Dragon Tattoo,2012-10-20,6
tt0157016,Seul contre tous,2017-05-08,7
tt0157032,Shot - Countershot,2013-09-26,5
tt0157154,La vendedora de rosas,2015-06-13,9
tt0015842,Die freudlose Gasse,2013-12-03,8
tt1585269,Phantoms of Nabua,2014-09-28,5
tt0015864,The Gold Rush,2013-03-11,6
tt0015873,Grass: A Nation's Battle for Life,2015-10-28,8
tt0158766,Matou a Família e Foi ao Cinema,2015-06-14,6
tt1588895,Loong Boonmee raleuk chat,2013-06-28,7
tt1598778,Contagion,2020-03-22,6
tt0000016,Barque sortant du port,2015-11-11,5
tt1602613,Only God Forgives,2016-10-07,7
tt1602620,Amour,2012-09-26,8
tt0160440,Kurutta kajitsu,2013-08-27,8
tt1605783,Midnight in Paris,2012-10-20,6
tt1616195,J. Edgar,2012-10-20,6
tt1620527,Little Red Hoodie,2015-11-04,6
tt0162222,Cast Away,2012-10-20,6
tt0162661,Sleepy Hollow,2012-10-20,5
tt0016332,Seven Chances,2013-12-02,8
tt1635656,Pixels,2014-10-25,4
tt0163982,Billy's Balloon,2014-07-01,6
tt1645170,The Dictator,2012-10-20,5
tt1646975,Le quattro volte,2016-06-28,5
tt0016481,Varieté,2015-11-12,7
tt0164912,Stuart Little,2014-01-27,5
tt1650048,Laurence Anyways,2014-08-07,6
tt0165078,Wandafuru raifu,2014-03-29,6
tt0165473,Shura,2015-04-09,8
tt1655442,The Artist,2012-10-20,6
tt0165623,Angst,2015-02-12,9
tt1660379,L'Apollonide (Souvenirs de la maison close),2014-07-05,6
tt1666168,Hors Satan,2017-03-08,6
tt0166700,La mancha de sangre,2015-03-12,4
tt0166808,Sombre,2015-05-14,6
tt0166924,Mulholland Dr.,2011-12-24,9
tt0167260,The Lord of the Rings: The Return of the King,2012-10-20,6
tt0167261,The Lord of the Rings: The Two Towers,2012-10-20,6
tt0167404,The Sixth Sense,2012-10-20,6
tt0167456,Thunderbirds,2012-10-20,2
tt1674773,Hannah Arendt,2013-05-04,6
tt1674775,Keyhole,2014-08-29,8
tt1675192,Take Shelter,2012-03-25,8
tt0001680,His Trust: The Faithful Devotion and Self-Sacrifice of an Old Negro Servant,2014-08-08,4
tt0016847,Faust: Eine deutsche Volkssage,2014-12-07,9
tt0168626,Daleká cesta,2013-09-24,6
tt0168629,Dancer in the Dark,2015-03-22,7
tt1692486,Carnage,2012-10-20,6
tt0169547,American Beauty,2012-04-05,9
tt0169912,Flora,2016-04-06,7
tt0170016,How the Grinch Stole Christmas,2014-01-27,4
tt0017048,Kurutta ippêji,2014-03-26,8
tt1706620,Snowpiercer,2015-01-22,5
tt1710336,By Night with Torch and Spear,2014-06-17,8
tt0171087,Balada o siedmich obesených,2015-02-24,5
tt0017136,Metropolis,2012-09-21,9
tt0171474,Lisova pisnya. Mavka,2016-05-12,6
tt0171587,Obrazy starého sveta,2013-11-09,5
tt0171719,Sberné surovosti,2013-09-16,6
tt1720261,The External World,2014-02-07,2
tt0017214,Now You Tell One,2014-07-04,6
tt1723811,Shame,2012-03-03,9
tt0172493,"Girl, Interrupted",2018-06-18,8
tt0172495,Gladiator,2012-10-20,6
tt0017271,Po zakonu,2014-01-04,7
tt1727578,Faces of November,2020-06-09,7
tt1736633,"Oslo, 31. august",2013-04-04,8
tt1745686,Die Wand,2012-11-09,8
tt1748122,Moonrise Kingdom,2012-06-06,9
tt1753652,Damon the Mower,2013-12-28,6
tt1754078,Las acacias,2015-06-20,6
tt1754367,Post Tenebras Lux,2015-01-10,6
tt1754898,Wintergartenprogramm,2014-05-09,5
tt0175581,Drak sa vracia,2014-12-07,8
tt1756672,Pegase,2016-04-28,6
tt0175743,Holubice,2014-05-19,6
tt0175755,Nikudan,2014-08-31,8
tt0175880,Magnolia,2012-10-20,6
tt0175979,Négy bagatell,2016-04-17,5
